Sample_Identifier,Parent Sample ID,IGSN-ParentSample,ITS_SPID,GOLD_Study_ID,GOLD_Biosample_ID,GOLD_SEQUENCING_PROJECT_ID,EMSL DMS sample number,EMSL data type,SAMPLE_COLLECTION_SITE,ECOSYSTEM,ECOSYSTEM_CATEGORY,ECOSYSTEM_TYPE,ECOSYSTEM_SUBTYPE,SPECIFIC_ECOSYSTEM,HABITAT,GEOGRAPHIC_LOCATION,LATITUDE,LONGITUDE,DEPTH,SAMPLE_COLLECTION_DATE,ELEVATION,PROJECT_NAME,SEQUENCING_STRATEGY_FULL,PH,SALINITY_CONCENTRATION,SAMPLE_VOLUME,SOIL_CURR_LAND_USE,SOIL_CURR_VEGETATION,SOIL_CURR_VEGETATION_METHOD,SOIL_PREV_LAND_USE,SOIL_PREV_LAND_USE_METH,SOIL_CROP_ROTATION,SOIL_AGROCHEM_ADDITION,SOIL_TILLAGE,SOIL_FIRE,SOIL_FLOODING,SOIL_EXTREME_EVENT,SOIL_HORIZON,SOIL_HORIZON_METHOD,SOIL_SIEVING,SOIL_WATER_CONTENT,SOIL_WATER_CONTENT_SOIL_METH,SAMPLE_WEIGHT_DNA_EXT,SOIL_POOL_DNA_EXTRACTS,SOIL_STORAGE_CONDITION,SOIL_LINK_CLIMATE_INFO,SOIL_MEAN_ANNUAL_TEMP,SOIL_MEAN_SEASONAL_TEMP,SOIL_MEAN_ANNUAL_PRECPT,SOIL_MEAN_SEASONAL_PRECPT,SOIL_LINK_CLASS_INFO,SOIL_FAO_CLASS,SOIL_LOCAL_CLASS,SOIL_LOCAL_CLASS_METHOD,SOIL_TYPE,SOIL_TYPE_METHOD,SOIL_SLOPE_GRADIENT,SOIL_SLOPE_ASPECT,SOIL_PROFILE_POSITION,SOIL_DRAINAGE_CLASS,SOIL_TEXTURE,SOIL_TEXTURE_METHOD,SOIL_PH_METHOD,TOT_ORG_CARBON,SOIL_TOT_ORG_C_METHOD,TOT_NITROGEN,SOIL_TOT_N_METHOD,SOIL_MICROBIAL_BIOMASS,SOIL_MICROBIAL_BIOMASS_METHOD,SOIL_LINK_ADDIT_ANALYS,SOIL_SALINITY_METHOD,SOIL_HEAVY_METALS,SOIL_HEAVY_METALS_METHOD,SOIL_ALUMINIUM_SAT,SOIL_ALUMINIUM_SAT_METHOD,ISOLATION_PUBLICATION_ID,SOIL_MISC_PARAM,NCBI_BIOPROJECT_ACCESSION,NCBI_BIOSAMPLE_ACCESSION,ITS_PROPOSAL_ID,ITS_PROJECT_NAME,ITS_SAMPLE_ID,ENV_PACKAGE,STUDY_NAME,STUDY_PI,STUDY_PI_EMAIL,SAMPLE_ISOLATION_COMMENTS,LAT_LONG_INFERRED,PRESSURE,NITRATE_CONCENTRATION,ITS_GROWTH_CONDITIONS,ELEVATION2,DEPTH2,BIOSAMPLE_NAME,ADD_DATE,MOD_DATE,DESCRIPTION,SAMPLING_STRATEGY,SAMPLE_BIOMASS,SAMPLE_CONTACT_NAME,SAMPLE_CONTACT_EMAIL,IS_PUBLIC,NCBI_TAXONOMY_ID,COMMUNITY,LOCATION,GROWTH_CONDITIONS,CHLOROPHYLL_CONCENTRATION,OXYGEN_CONCENTRATION,ECOSYSTEM_PATH_ID,NCBI_TAXONOMY_NAME,TEMPERATURE_RANGE,SUBSURFACE_DEPTH,SUBSURFACE_DEPTH2,SOLUBLE_IRON_MICROMOL,H2S_MILLIMOL,H2S_PRESENT,OXYGEN_PRESENCE,METHANE_CONC_MILLIMOL,ISOLATION_PUBLICATION_ID,BICARBONATE_MILLIMOL,PROPORT_WOA_SILICATE,PROPORT_WOA_PHOSPHATE,Soil_SIZE_FRAC_LOW,Soil_SIZE_FRAC_UP,samp_mat_process,samp_size
ER_RNA_194,194,IEWFS0011,1203917,Gs0135149,Gb0192121,Gp0324049,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,5-15,6-8-2017,2780,"Metatranscriptome of soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_194",Metatranscriptome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA622067,SAMN14514883,503568,ER_RNA_194,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_194",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
194,194,IEWFS0011,,,,,747982; 748030; 743585; 724083; 724435; 771490; 769690; 738776; 738777; 739478; 738773; 738774; 738775,Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Lipidomics; Lipidomics; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,5-15,,2780,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,,,,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),,,,,(null),(null),,,,,,,,(null),(null),,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_DNA_195,195,IEWFS0012,1196606,Gs0135149,Gb0191675,Gp0321295,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,> 15,6-8-2017,2780,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_195",Metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA518584,SAMN10864333,503568,ER_DNA_195,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_195",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_RNA_195,195,IEWFS0012,1203918,Gs0135149,Gb0192122,Gp0324050,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,> 15,6-8-2017,2780,"Metatranscriptome of soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_195",Metatranscriptome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA622069,SAMN14515035,503568,ER_RNA_195,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_195",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
195,195,IEWFS0012,,,,,749048; 749035; 743586; 723625; 723626; 724084; 769756; 769640; 738781; 738782; 739479; 738778; 738779; 738780,Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Lipidomics; Lipidomics; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,> 15,,2780,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,,,,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),,,,,(null),(null),,,,,,,,(null),(null),,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_DNA_196,196,IEWFS0013,1196607,Gs0135149,Gb0191676,Gp0321296,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,0-5,6-8-2017,2780,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_196",Metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA518585,SAMN10864138,503568,ER_DNA_196,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_196",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_RNA_196,196,IEWFS0013,1203919,Gs0135149,Gb0192123,Gp0324051,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,0-5,6-8-2017,2780,"Metatranscriptome of soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_196",Metatranscriptome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA622070,SAMN14515806,503568,ER_RNA_196,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_196",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
196,196,IEWFS0013,,,,,747981; 748029; 743587; 769763; 769684; 738786; 738787; 739480; 738783; 738784; 738785,Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Lipidomics; Lipidomics; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,0-5,,2780,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,,,,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),,,,,(null),(null),,,,,,,,(null),(null),,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_DNA_197,197,IEWFS0014,1196608,Gs0135149,Gb0191677,Gp0321297,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,5-15,6-8-2017,2780,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_197",Metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA518586,SAMN10864124,503568,ER_DNA_197,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_197",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_RNA_197,197,IEWFS0014,1203920,Gs0135149,Gb0192124,Gp0324052,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,5-15,6-8-2017,2780,"Metatranscriptome of soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_197",Metatranscriptome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA622071,SAMN14515614,503568,ER_RNA_197,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_197",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
197,197,IEWFS0014,,,,,747956; 748004; 743588; 724085; 724436; 771484; 769683; 738791; 738792; 738793; 738788; 739481,Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Lipidomics; Lipidomics; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,5-15,,2780,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,,,,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),,,,,(null),(null),,,,,,,,(null),(null),,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_DNA_198,198,IEWFS0015,1196609,Gs0135149,Gb0191678,Gp0321298,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,> 15,6-8-2017,2780,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_198",Metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA518587,SAMN10864255,503568,ER_DNA_198,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_198",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_RNA_198,198,IEWFS0015,1203921,Gs0135149,Gb0192125,Gp0324053,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,> 15,6-8-2017,2780,"Metatranscriptome of soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_198",Metatranscriptome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA622072,SAMN14515497,503568,ER_RNA_198,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_198",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
198,198,IEWFS0015,,,,,749049; 749036; 743589; 723628; 723629; 724086; 769757; 769679; 738797; 738798; 738799; 738794; 738795; 738796,Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Lipidomics; Lipidomics; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,> 15,,2780,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,,,,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),,,,,(null),(null),,,,,,,,(null),(null),,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
